Time,actual_gap1,actual_gap2,des_gap1,des_gap2,TargetVelocity
1.819999,12.72407,10.84824,10.03159,7.861907,33.33333
1.839999,12.7769,10.87025,10.09377,7.893074,33.33333
1.859999,12.8301,10.89257,10.15627,7.924537,33.33333
1.879999,12.88367,10.91519,10.21909,7.956295,33.33333
1.899999,12.93761,10.93813,10.28223,7.988349,33.33333
1.919999,12.99191,10.96138,10.34568,8.020699,33.33333
1.939999,13.04658,10.98494,10.40944,8.053344,33.33333
1.959999,13.10161,11.00881,10.4735,8.086284,33.33333
1.979999,13.15699,11.033,10.53788,8.119518,33.33333
1.999999,13.21272,11.05749,10.60255,8.153049,33.33333
2.019999,13.26881,11.0823,10.66752,8.186872,33.33333
2.039999,13.32524,11.10742,10.73279,8.220991,33.33333
2.059999,13.38201,11.13285,10.79836,8.255404,33.33333
2.079999,13.43913,11.15859,10.86422,8.290112,33.33333
2.099999,13.49658,11.18464,10.93036,8.325112,33.33333
2.119999,13.55437,11.21101,10.99679,8.360407,33.33333
2.139999,13.61249,11.23768,11.06351,8.395994,33.33333
2.159999,13.67094,11.26467,11.13051,8.431874,33.33333
2.179999,13.72972,11.29196,11.19779,8.468047,33.33333
2.199999,13.78882,11.31957,11.26534,8.504512,33.33333
2.219999,13.84824,11.34749,11.33317,8.541269,33.33333
2.239999,13.90798,11.37572,11.40128,8.578317,33.33333
2.259999,13.96803,11.40426,11.46965,8.615656,33.33333
2.279999,14.0284,11.43311,11.53828,8.653286,33.33333
2.299999,14.08908,11.46227,11.60719,8.691206,33.33333
2.319999,14.15007,11.49174,11.67635,8.729416,33.33333
2.339999,14.21136,11.52152,11.74578,8.767915,33.33333
2.359999,14.27295,11.5516,11.81546,8.806703,33.33333
2.379999,14.33484,11.582,11.8854,8.845778,33.33333
2.399999,14.39703,11.61271,11.9556,8.885142,33.33333
2.419999,14.45951,11.64372,12.02604,8.924794,33.33333
2.439999,14.52229,11.67504,12.09674,8.964732,33.33333
2.459999,14.58536,11.70667,12.16768,9.004957,33.33333
2.479999,14.64871,11.7386,12.23886,9.045467,33.33333
2.499999,14.71235,11.77084,12.31029,9.086262,33.33333
2.519999,14.77626,11.80338,12.38196,9.127342,33.33333
2.539999,14.84046,11.83624,12.45386,9.168706,33.33333
2.559999,14.90494,11.86939,12.52601,9.210354,33.33333
2.579999,14.96969,11.90285,12.59838,9.252284,33.33333
2.599999,15.03471,11.93662,12.67099,9.294497,33.33333
2.619999,15.10001,11.97069,12.74383,9.33699,33.33333
2.639999,15.16557,12.00506,12.8169,9.379766,33.33333
2.659999,15.23139,12.03973,12.89019,9.422821,33.33333
2.679999,15.29748,12.07471,12.96371,9.466155,33.33333
2.699999,15.36383,12.10999,13.03745,9.509769,33.33333
2.719999,15.43044,12.14556,13.1114,9.553661,33.33333
2.739999,15.49731,12.18144,13.18558,9.597831,33.33333
2.759999,15.56443,12.21762,13.25997,9.642277,33.33333
2.779999,15.6318,12.25409,13.33458,9.687,33.33333
2.799999,15.69942,12.29087,13.4094,9.731998,33.33333
2.819999,15.76729,12.32794,13.48443,9.777271,33.33333
2.839999,15.83541,12.36531,13.55966,9.822818,33.33333
2.859999,15.90377,12.40297,13.63511,9.868637,33.33333
2.879999,15.97237,12.44093,13.71076,9.91473,33.33333
2.899999,16.04121,12.47919,13.78661,9.961094,33.33333
2.919999,16.11029,12.51774,13.86266,10.00773,33.33333
2.939999,16.1796,12.55658,13.93891,10.05464,33.33333
2.959999,16.24915,12.59571,14.01536,10.10181,33.33333
2.979999,16.31892,12.63514,14.09201,10.14925,33.33333
2.999999,16.38893,12.67486,14.16885,10.19696,33.33333
3.019999,16.45916,12.71487,14.24588,10.24494,33.33333
3.039999,16.52962,12.75517,14.3231,10.29319,33.33333
3.059999,16.6003,12.79576,14.40051,10.3417,33.33333
3.079999,16.67121,12.83663,14.47811,10.39047,33.33333
3.099999,16.74233,12.8778,14.55589,10.43951,33.33333
3.119999,16.81367,12.91925,14.63386,10.48881,33.33333
3.139999,16.88522,12.96098,14.71201,10.53837,33.33333
3.159999,16.95699,13.00301,14.79034,10.5882,33.33333
3.179999,17.02897,13.04531,14.86884,10.63828,33.33333
3.199999,17.10116,13.0879,14.94753,10.68863,33.33333
3.219999,17.17356,13.13077,15.02639,10.73923,33.33333
3.239999,17.24616,13.17393,15.10542,10.79009,33.33333
3.259999,17.31897,13.21736,15.18463,10.8412,33.33333
3.279999,17.39198,13.26107,15.26401,10.89258,33.33333
3.299999,17.4652,13.30507,15.34356,10.94421,33.33333
3.319999,17.53861,13.34934,15.42327,10.99609,33.33333
3.339999,17.61222,13.39389,15.50315,11.04822,33.33333
3.359999,17.68602,13.43871,15.5832,11.10061,33.33333
3.379999,17.76002,13.48382,15.6634,11.15325,33.33333
3.399999,17.83421,13.52919,15.74377,11.20614,33.33333
3.419999,17.90859,13.57484,15.8243,11.25928,33.33333
3.439999,17.98316,13.62076,15.90499,11.31267,33.33333
3.459999,18.05792,13.66696,15.98584,11.3663,33.33333
3.479999,18.13287,13.71343,16.06684,11.42019,33.33333
3.499999,18.20799,13.76016,16.14799,11.47432,33.33333
3.519999,18.2833,13.80717,16.2293,11.52869,33.33333
3.539999,18.35879,13.85444,16.31076,11.58331,33.33333
3.559999,18.43446,13.90199,16.39237,11.63817,33.33333
3.579999,18.5103,13.94979,16.47412,11.69327,33.33333
3.599999,18.58632,13.99787,16.55603,11.74862,33.33333
3.619999,18.66252,14.04621,16.63808,11.8042,33.33333
3.639999,18.73889,14.09481,16.72027,11.86003,33.33333
3.659999,18.81543,14.14368,16.80261,11.91609,33.33333
3.679999,18.89214,14.1928,16.88509,11.97239,33.33333
3.699999,18.96901,14.24219,16.96771,12.02893,33.33333
3.719999,19.04606,14.29184,17.05047,12.0857,33.33333
3.739999,19.12326,14.34175,17.13336,12.14271,33.33333
3.759999,19.20064,14.39191,17.21639,12.19995,33.33333
3.779999,19.27817,14.44233,17.29956,12.25743,33.33333
3.799999,19.35586,14.49301,17.38286,12.31513,33.33333
3.819999,19.43372,14.54394,17.46629,12.37307,33.33333
3.839999,19.51173,14.59513,17.54986,12.43123,33.33333
3.859999,19.5899,14.64657,17.63355,12.48963,33.33333
3.879999,19.66822,14.69826,17.71737,12.54825,33.33333
3.899999,19.74669,14.7502,17.80132,12.6071,33.33333
3.919999,19.82532,14.80239,17.8854,12.66617,33.33333
3.939999,19.9041,14.85483,17.9696,12.72547,33.33333
3.959999,19.98303,14.90752,18.05392,12.78499,33.33333
3.979999,20.0621,14.96046,18.13837,12.84474,33.33333
3.999999,20.14132,15.01364,18.22293,12.90471,33.33333
4.019999,20.22069,15.06707,18.30762,12.9649,33.33333
4.039999,20.3002,15.12074,18.39243,13.02531,33.33333
4.059999,20.37985,15.17465,18.47735,13.08594,33.33333
4.079998,20.45965,15.22881,18.56239,13.14678,33.33333
4.099998,20.53958,15.28321,18.64755,13.20784,33.33333
4.119998,20.61965,15.33784,18.73282,13.26912,33.33333
4.139998,20.69986,15.39272,18.8182,13.33062,33.33333
4.159998,20.7802,15.44783,18.90369,13.39232,33.33333
4.179998,20.86068,15.50319,18.9893,13.45425,33.33333
4.199998,20.9413,15.55877,19.07501,13.51638,33.33333
4.219998,21.02204,15.61459,19.16084,13.57872,33.33333
4.239998,21.10292,15.67065,19.24677,13.64128,33.33333
4.259998,21.18392,15.72693,19.3328,13.70404,33.33333
4.279998,21.26505,15.78345,19.41894,13.76701,33.33333
