Time,PositionX,PositionY,PositionZ,Vx,Ax,Y,YDot,Psi,PsiDot,EngineRpm
0,2.1,0,0.0009999992,0.04999998,2.5,0,0,0,0,0
0.01999999,2.1,0,0.002999998,0.09999996,2.5,0,0,0,0,0
0.03999998,2.1,0,0.005999995,0.1499999,2.5,0,0,0,0,0
0.05999998,2.1,0,0.009999992,0.1999999,2.5,0,0,0,0,0
0.07999997,2.1,0,0.01499999,0.2499999,2.5,0,0,0,0,0
0.09999996,2.1,0,0.02099998,0.2999999,2.5,0,0,0,0,0
0.12,2.1,0,0.02799998,0.3499999,2.5,0,0,0,0,0
0.14,2.1,0,0.03599998,0.3999999,2.5,0,0,0,0,0
0.1599999,2.1,0,0.04499997,0.4499998,2.5,0,0,0,0,0
0.1799999,2.1,0,0.05499996,0.4999998,2.5,0,0,0,0,0
0.1999999,2.1,0,0.06599995,0.5499998,2.5,0,0,0,0,0
0.2199999,2.1,0,0.07799994,0.5999997,2.5,0,0,0,0,0
0.2399999,2.1,0,0.09099993,0.6499997,2.5,0,0,0,0,0
0.2599999,2.1,0,0.1049999,0.6999996,2.5,0,0,0,0,0
0.2799999,2.1,0,0.1199999,0.7499996,2.5,0,0,0,0,0
0.2999999,2.1,0,0.1359999,0.7999995,2.499999,0,0,0,0,0
0.3199999,2.1,0,0.1529999,0.8499995,2.499999,0,0,0,0,0
0.3399999,2.1,0,0.1709999,0.8999994,2.499999,0,0,0,0,0
0.3599999,2.1,0,0.1899998,0.9499994,2.499999,0,0,0,0,0
0.3799999,2.1,0,0.2099998,0.9999993,2.499998,0,0,0,0,0
0.3999999,2.1,0,0.2309998,1.049999,2.499998,0,0,0,0,0
0.4199998,2.1,0,0.2529998,1.099999,2.499998,0,0,0,0,0
0.4399998,2.1,0,0.2759998,1.149999,2.499997,0,0,0,0,0
0.4599998,2.1,0,0.2999997,1.199999,2.499996,0,0,0,0,0
0.4799998,2.1,0,0.3249997,1.249999,2.499996,0,0,0,0,0
0.4999998,2.1,0,0.3509997,1.299999,2.499995,0,0,0,0,0
0.5199998,2.1,0,0.3779996,1.349999,2.499994,0,0,0,0,0
0.5399998,2.1,0,0.4059996,1.399999,2.499993,0,0,0,0,0
0.5599998,2.1,0,0.4349995,1.449998,2.499992,0,0,0,0,0
0.5799998,2.1,0,0.4649995,1.499998,2.499991,0,0,0,0,0
0.5999998,2.1,0,0.4959994,1.549998,2.49999,0,0,0,0,0
0.6199998,2.1,0,0.5279993,1.599998,2.499988,0,0,0,0,850
0.6399997,2.1,0,0.5609993,1.649997,2.499987,0,0,0,0,880
0.6599998,2.1,0,0.5949992,1.699997,2.499985,0,0,0,0,898
0.6799998,2.1,0,0.6299991,1.749997,2.499983,0,0,0,0,908.8
0.6999997,2.1,0,0.665999,1.799996,2.499981,0,0,0,0,915.28
0.7199997,2.1,0,0.7029989,1.849996,2.499979,0,0,0,0,919.168
0.7399997,2.1,0,0.7409987,1.899995,2.499976,0,0,0,0,921.5009
0.7599998,2.1,0,0.7799986,1.949995,2.499974,0,0,0,0,922.9005
0.7799997,2.1,0,0.8199984,1.999994,2.499971,0,0,0,0,923.7403
0.7999997,2.1,0,0.8609983,2.049994,2.499968,0,0,0,0,924.2442
0.8199997,2.1,0,0.9029981,2.099993,2.499964,0,0,0,0,924.5465
0.8399997,2.1,0,0.9459979,2.149992,2.499961,0,0,0,0,924.7279
0.8599997,2.1,0,0.9899977,2.199991,2.499957,0,0,0,0,924.8367
0.8799997,2.1,0,1.034997,2.24999,2.499953,0,0,0,0,927.9088
0.8999997,2.1,0,1.080997,2.299989,2.499948,0,0,0,0,937.0929
0.9199997,2.1,0,1.127997,2.349988,2.499943,0,0,0,0,949.9443
0.9399996,2.1,0,1.175997,2.399987,2.499938,0,0,0,0,964.9961
0.9599997,2.1,0,1.224996,2.449985,2.499933,0,0,0,0,981.368
0.9799997,2.1,0,1.274996,2.499984,2.499927,0,0,0,0,998.5321
0.9999996,2.1,0,1.325996,2.549982,2.499921,0,0,0,0,1016.171
1.02,2.1,0,1.377995,2.59998,2.499914,0,0,0,0,1034.096
1.04,2.1,0,1.430995,2.649978,2.499907,0,0,0,0,1052.191
1.06,2.1,0,1.484994,2.699976,2.4999,0,0,0,0,1070.389
1.08,2.1,0,1.539994,2.749974,2.499892,0,0,0,0,1088.649
1.1,2.1,0,1.595993,2.799972,2.499884,0,0,0,0,1106.946
1.12,2.1,0,1.652992,2.849969,2.499876,0,0,0,0,1125.264
1.14,2.1,0,1.710992,2.899966,2.499866,0,0,0,0,1143.596
1.16,2.1,0,1.769991,2.949964,2.499857,0,0,0,0,1161.936
1.18,2.1,0,1.82999,2.99996,2.499847,0,0,0,0,1180.281
1.2,2.1,0,1.890989,3.049957,2.499836,0,0,0,0,1198.628
1.22,2.1,0,1.952988,3.099953,2.499825,0,0,0,0,1216.977
1.24,2.1,0,2.015987,3.14995,2.499813,0,0,0,0,1235.327
1.26,2.1,0,2.079986,3.199945,2.499801,0,0,0,0,1253.677
1.279999,2.1,0,2.144985,3.249941,2.499788,0,0,0,0,1272.028
1.3,2.1,0,2.210984,3.299937,2.499774,0,0,0,0,1290.379
1.32,2.1,0,2.277983,3.349932,2.49976,0,0,0,0,1308.73
1.34,2.1,0,2.345981,3.399927,2.499745,0,0,0,0,1327.081
1.36,2.1,0,2.414979,3.449921,2.499729,0,0,0,0,1345.432
1.38,2.1,0,2.484978,3.499915,2.499713,0,0,0,0,1363.783
1.399999,2.1,0,2.555976,3.549909,2.499696,0,0,0,0,1382.134
1.419999,2.1,0,2.627974,3.599903,2.499678,0,0,0,0,1400.484
1.439999,2.1,0,2.700972,3.649896,2.49966,0,0,0,0,1418.835
1.459999,2.1,0,2.77497,3.699889,2.499641,0,0,0,0,1437.185
1.479999,2.1,0,2.849967,3.749881,2.49962,0,0,0,0,1455.536
