Time,Fx,Lambda
5.939998,-1250.858,0
5.959998,-1247.859,0
5.979998,-1244.873,0
5.999998,-1241.898,0
6.019998,-1238.935,0
6.039998,-1235.984,0
6.059998,-1233.045,0
6.079998,-1230.117,0
6.099998,-1227.202,0
6.119998,-1224.297,0
6.139998,-1221.404,0
6.159998,-1218.522,0
6.179998,-1215.652,0
6.199998,-1212.793,0
6.219998,-1209.945,0
6.239998,-1207.108,0
6.259998,-1204.282,0
6.279998,-1201.468,0
6.299998,-1198.664,0
6.319998,-1195.871,0
6.339998,-1193.089,0
6.359998,-1190.318,0
6.379998,-1187.557,0
