Time,Fx,Lambda
0,249.4507,0
0.01999999,635.4448,0
0.03999998,605.6047,0
0.05999998,636.0629,0
0.07999997,657.5181,0
0.09999996,680.059,0
0.12,702.2195,0
0.14,724.2146,0
0.1599999,746.0151,0
0.1799999,767.6271,0
0.1999999,789.0516,0
0.2199999,810.2903,0
0.2399999,831.3449,0
0.2599999,852.2169,0
0.2799999,872.9079,0
0.2999999,893.4196,0
0.3199999,913.7534,0
0.3399999,933.9108,0
0.3599999,953.8934,0
0.3799999,973.7028,0
0.3999999,993.3404,0
0.4199998,1012.808,0
0.4399998,1032.107,0
0.4599998,1051.238,0
0.4799998,1070.203,0
0.4999998,1089.004,0
0.5199998,1107.642,0
0.5399998,1126.119,0
0.5599998,1144.435,0
0.5799998,1162.592,0
0.5999998,1180.592,0
0.6199998,1198.436,0
0.6399997,1216.126,0
0.6599998,1233.661,0
0.6799998,1251.045,0
0.6999997,1268.279,0
0.7199997,1285.362,0
0.7399997,1302.298,0
0.7599998,1319.087,0
0.7799997,1335.73,0
0.7999997,1352.229,0
0.8199997,1368.585,0
0.8399997,1384.799,0
0.8599997,1400.873,0
0.8799997,1416.807,0
0.8999997,1432.603,0
0.9199997,1448.262,0
0.9399996,1463.785,0
0.9599997,1479.174,0
0.9799997,1494.429,0
0.9999996,1509.552,0
1.02,1524.544,0
1.04,1539.406,0
1.06,1554.139,0
1.08,1568.744,0
1.1,1583.223,0
1.12,1597.576,0
1.14,1611.804,0
1.16,1625.909,0
1.18,1639.892,0
1.2,1653.753,0
1.22,1667.494,0
1.24,1681.116,0
1.26,1694.62,0
1.279999,1708.007,0
1.3,1721.277,0
1.32,1734.432,0
1.34,1747.473,0
1.36,1760.401,0
1.38,1773.217,0
1.399999,1785.921,0
1.419999,1798.516,0
1.439999,1811,0
1.459999,1823.377,0
1.479999,1835.646,0
1.5,1847.808,0
1.52,1859.865,0
1.539999,1871.817,0
1.559999,1883.665,0
1.579999,1895.41,0
1.599999,1907.053,0
1.619999,1918.595,0
1.639999,1930.037,0
1.659999,1941.379,0
1.679999,1952.622,0
1.699999,1963.768,0
1.719999,1974.816,0
1.739999,1985.769,0
1.759999,1996.626,0
1.779999,2007.389,0
