Time,Fx,Lambda
0,0,0
0.009999993,0,0
0.01999999,0,0
0.02999998,0,0
0.03999997,0,0
0.04999996,0,0
0.05999996,0,0
0.06999995,0,0
0.07999995,0,0
0.08999994,0,0
0.09999993,0,0
0.1099999,0,0
0.1199999,0,0
0.1299999,0,0
0.1399999,0,0
0.1499999,0,0
0.1599999,0,0
0.1699999,0,0
0.1799999,0,0
0.1899999,0,0
0.1999999,0,0
0.2099998,0,0
0.2199998,0,0
0.2299998,0,0
0.2399998,0,0
0.2499998,0,0
0.2599998,0,0
0.2699998,0,0
0.2799998,0,0
0.2899998,0,0
0.2999998,0,0
0.3099998,0,0
0.3199998,0,0
0.3299998,0,0
0.3399998,0,0
0.3499998,0,0
0.3599997,0,0
0.3699997,0,0
0.3799997,0,0
0.3899997,0,0
0.3999997,0,0
0.4099997,0,0
0.4199997,0,0
0.4299997,0,0
0.4399997,0,0
0.4499997,0,0
0.4599997,0,0
0.4699997,0,0
0.4799997,0,0
0.4899997,0,0
0.4999996,0,0
0.5099996,0,0
0.5199996,0,0
0.5299996,0,0
0.5399996,0,0
0.5499996,0,0
0.5599996,0,0
0.5699996,0,0
0.5799996,0,0
0.5899996,0,0
0.5999995,0,0
0.6099996,0,0
0.6199996,0,0
0.6299996,0,0
0.6399996,0,0
0.6499996,0,0
0.6599995,0,0
0.6699995,0,0
0.6799995,0,0
0.6899995,200.1759,0
0.6999995,199.0775,0
0.7099995,200.0191,0
0.7199995,200.7546,0
0.7299995,201.5417,0
0.7399995,201.9825,0
0.7499995,202.1111,0
0.7599995,38.78798,0
0.7699994,51.88873,0
0.7799994,51.2673,0
0.7899994,51.66073,0
0.7999994,51.98943,0
0.8099994,52.33247,0
0.8199994,52.68417,0
0.8299994,53.04501,0
0.8399994,53.41506,0
0.8499994,53.79437,0
0.8599994,54.18304,0
0.8699994,54.58115,0
0.8799994,54.98528,0
0.8899994,55.39858,0
0.8999994,55.82126,0
0.9099994,56.25342,0
0.9199994,56.69512,0
0.9299994,57.14649,0
0.9399993,57.60743,0
0.9499993,58.07814,0
0.9599993,58.55867,0
0.9699993,59.04911,0
0.9799993,59.54942,0
0.9899993,60.05988,0
0.9999993,60.58031,0
1.009999,61.11095,0
1.019999,61.65176,0
1.029999,62.20292,0
1.039999,62.76442,0
1.049999,63.3363,0
1.059999,63.91879,0
1.069999,64.51179,0
1.079999,65.11544,0
1.089999,65.7298,0
1.099999,66.35497,0
1.109999,66.991,0
1.119999,67.63797,0
1.129999,68.29592,0
1.139999,68.96493,0
1.149999,69.64508,0
1.159999,70.33646,0
1.169999,71.03913,0
1.179999,71.75314,0
1.189999,72.47865,0
1.199999,73.21553,0
1.209999,73.96405,0
1.219999,74.72429,0
1.229999,75.49619,0
1.239999,76.27982,0
1.249999,77.07538,0
1.259999,77.88292,0
1.269999,78.64143,0
1.279999,79.4073,0
1.289999,80.17975,0
1.299999,80.9594,0
1.309999,81.74607,0
1.319999,82.53983,0
1.329999,83.34083,0
1.339999,84.14865,0
1.349999,84.96364,0
1.359999,85.78561,0
1.369999,86.61449,0
1.379999,87.45042,0
1.389999,88.29322,0
1.399999,89.14287,0
1.409999,89.99941,0
1.419999,90.86298,0
1.429999,91.73326,0
1.439999,92.61031,0
1.449999,93.49426,0
1.459999,94.38498,0
1.469999,95.28222,0
1.479999,96.18636,0
1.489999,97.09702,0
1.499999,98.01456,0
1.509999,98.93867,0
1.519999,99.86937,0
1.529999,100.8067,0
