Time,Fx,Lambda
0,3262.5,0
0.01999999,3262.5,0
0.03999998,3262.5,0
0.05999998,3262.5,0
0.07999997,3262.5,0
0.09999996,3262.5,0
0.12,3262.5,0
0.14,3262.5,0
0.1599999,3262.5,0
0.1799999,3262.5,0
0.1999999,3262.5,0
0.2199999,3262.5,0
0.2399999,3262.5,0
0.2599999,3262.499,0
0.2799999,3262.499,0
0.2999999,3262.499,0
0.3199999,3262.499,0
0.3399999,3262.499,0
0.3599999,3262.498,0
0.3799999,3262.498,0
0.3999999,3262.498,0
0.4199998,3262.497,0
0.4399998,3262.496,0
0.4599998,3262.495,0
0.4799998,3262.494,0
0.4999998,3262.493,0
0.5199998,3262.492,0
0.5399998,3262.491,0
0.5599998,3262.49,0
0.5799998,3262.488,0
0.5999998,3262.487,0
0.6199998,3262.485,0
0.6399997,3262.483,0
0.6599998,3262.48,0
0.6799998,3262.478,0
0.6999997,3262.475,0
0.7199997,3262.472,0
0.7399997,3262.469,0
0.7599998,3262.466,0
0.7799997,3262.462,0
0.7999997,3262.458,0
0.8199997,3262.453,0
0.8399997,3262.449,0
0.8599997,3262.444,0
0.8799997,3262.438,0
0.8999997,3262.432,0
0.9199997,3262.426,0
0.9399996,3262.419,0
0.9599997,3262.412,0
0.9799997,3262.405,0
0.9999996,3262.397,0
1.02,3262.388,0
1.04,3262.379,0
1.06,3262.37,0
1.08,3262.36,0
1.1,3262.349,0
1.12,3262.338,0
1.14,3262.326,0
1.16,3262.313,0
1.18,3262.3,0
1.2,3262.286,0
1.22,3262.271,0
1.24,3262.256,0
1.26,3262.24,0
1.279999,3262.223,0
1.3,3262.205,0
1.32,3262.187,0
1.34,3262.167,0
1.36,3262.147,0
1.38,3262.126,0
1.399999,3262.104,0
1.419999,3262.08,0
1.439999,3262.056,0
1.459999,3262.031,0
1.479999,3262.005,0
1.5,3261.978,0
1.52,3261.949,0
1.539999,3261.919,0
1.559999,3261.889,0
1.579999,3261.857,0
1.599999,3261.823,0
1.619999,3261.789,0
1.639999,3261.753,0
1.659999,3261.716,0
1.679999,3261.678,0
1.699999,3261.638,0
1.719999,3261.597,0
1.739999,3261.554,0
1.759999,3261.51,0
1.779999,3261.464,0
1.799999,3261.417,0
1.819999,3261.368,0
1.839999,3261.317,0
1.859999,3261.265,0
1.879999,3261.211,0
1.899999,3261.155,0
1.919999,3261.098,0
1.939999,3261.038,0
1.959999,3260.977,0
1.979999,3260.914,0
1.999999,3260.849,0
2.019999,3260.782,0
2.039999,3260.713,0
2.059999,3260.642,0
2.079999,3260.569,0
2.099999,3260.493,0
2.119999,3260.416,0
2.139999,3260.336,0
2.159999,3260.254,0
2.179999,3260.17,0
2.199999,3260.083,0
2.219999,3259.994,0
2.239999,3259.903,0
2.259999,3259.809,0
2.279999,3259.712,0
2.299999,3259.613,0
2.319999,3259.511,0
2.339999,3259.407,0
2.359999,3259.3,0
2.379999,3259.19,0
2.399999,3259.078,0
2.419999,3258.963,0
2.439999,3258.844,0
2.459999,3258.723,0
2.479999,3258.599,0
2.499999,3258.472,0
2.519999,3258.341,0
2.539999,3258.208,0
2.559999,3258.071,0
2.579999,3257.931,0
2.599999,3257.788,0
2.619999,3257.642,0
2.639999,3257.492,0
2.659999,3257.339,0
2.679999,3257.182,0
2.699999,3257.021,0
2.719999,3256.857,0
2.739999,3256.69,0
2.759999,3256.519,0
2.779999,3256.344,0
2.799999,3256.165,0
2.819999,3255.982,0
2.839999,3255.796,0
2.859999,3255.605,0
2.879999,3255.41,0
2.899999,3255.212,0
2.919999,3255.009,0
2.939999,3254.802,0
2.959999,3254.591,0
2.979999,3254.375,0
2.999999,3254.155,0
3.019999,3253.931,0
3.039999,3253.702,0
3.059999,3253.469,0
3.079999,3253.231,0
3.099999,3252.989,0
3.119999,3252.741,0
3.139999,3252.489,0
3.159999,3252.232,0
3.179999,3251.971,0
3.199999,3251.704,0
3.219999,3251.432,0
3.239999,3251.156,0
3.259999,3250.874,0
3.279999,3250.587,0
3.299999,3250.294,0
3.319999,3249.996,0
3.339999,3249.693,0
3.359999,3249.385,0
3.379999,3249.071,0
3.399999,3248.751,0
3.419999,3248.426,0
3.439999,3248.095,0
3.459999,3247.758,0
3.479999,3247.416,0
3.499999,3247.067,0
3.519999,3246.713,0
3.539999,3246.352,0
3.559999,3245.986,0
3.579999,3245.613,0
3.599999,3245.234,0
3.619999,3244.849,0
3.639999,3244.457,0
3.659999,3244.059,0
3.679999,3243.655,0
3.699999,3243.244,0
3.719999,3242.826,0
3.739999,3242.402,0
3.759999,3241.97,0
3.779999,3241.532,0
3.799999,3241.087,0
3.819999,3240.635,0
3.839999,3240.176,0
3.859999,3239.71,0
3.879999,3239.237,0
